pass,keyword,segmento,intencion,encaje,busquedas_mes,competencia,idx_comp,cpc_usd,puja_baja,puja_alta,var_anual_pct,pico_mes,variantes,otras_variantes,tags
en_world,"international ship",OTRO,GENERICA,EXCLUIR,33100,LOW,14,15284.22,2756.93,17427.28,-1,7,2,"international ships","url:gac.com"
en_world,"part ship",OTRO,GENERICA,REVISAR,33100,LOW,1,3473.66,1065.18,3450.42,-21,11,2,"ship parts","url:lethagencies.com"
en_world,"suez canal map",INFO_CANAL,INFORMACIONAL,EXCLUIR,33100,LOW,19,189.40,0.00,0.00,30,3,1,"","url:lethagencies.com"
en_world,"panama canal map",INFO_CANAL,INFORMACIONAL,EXCLUIR,27100,MEDIUM,38,207.17,1218.19,9664.74,-34,1,1,"","url:lethagencies.com"
en_world,"shipping authority",INFO_CANAL,INFORMACIONAL,EXCLUIR,27100,LOW,6,742.63,718.58,1614.75,14,3,1,"","url:lethagencies.com"
en_world,"hull shipping",OTRO,GENERICA,REVISAR,22200,LOW,0,2107.28,0.00,0.00,-12,9,1,"","url:gac.com"
en_world,"colon colon panama",OTRO,COMERCIAL,REVISAR,22200,LOW,5,3571.40,605.19,4178.80,15,1,1,"","url:orcashipsagents.com"
en_world,"bulk carriers",OTRO,GENERICA,REVISAR,22200,LOW,2,4523.75,970.16,5209.65,2,3,1,"","url:24marine.com"
en_world,"panama miraflores visitor center",OTRO,COMERCIAL,EXCLUIR,18100,LOW,7,3277.39,1013.70,3715.33,23,1,1,"","info"
en_world,"marketing company",OTRO,COMERCIAL,EXCLUIR,18100,LOW,33,45695.44,5295.45,54866.50,-34,9,1,"","url:crossworldagency.com"
en_world,"canal suez",INFO_CANAL,INFORMACIONAL,EXCLUIR,14800,LOW,0,89.77,6.69,45.76,32,3,1,"","url:lethagencies.com"
en_world,"ship supplier",OTRO,COMERCIAL,REVISAR,14800,HIGH,90,22470.03,4737.94,25248.95,-9,4,1,"","url:orcashipsagents.com"
en_world,"kinds of ship",OTRO,GENERICA,REVISAR,14800,LOW,0,6906.31,1390.10,7196.12,-25,3,1,"","url:orcashipsagents.com"
en_world,"tankers vessel",OTRO,GENERICA,REVISAR,14800,LOW,1,10386.59,1633.91,12698.29,-5,3,1,"","url:24marine.com"
en_world,"analytics agencies",FUERA,GENERICA,EXCLUIR,14800,MEDIUM,52,43060.78,23993.29,114909.63,-3,3,1,"","url:crossworldagency.com"
en_world,"products and marketing",OTRO,GENERICA,EXCLUIR,14800,LOW,18,21478.26,1890.78,32741.11,-42,9,2,"products for marketing","url:crossworldagency.com"
en_world,"ships information",OTRO,GENERICA,REVISAR,12100,LOW,6,1374.70,136.47,1566.44,-9,1,1,"","url:adimarships.com"
en_world,"ship chandler",CONSULT,COMERCIAL,SERVICIO,12100,LOW,5,3310.99,868.44,5964.83,-7,7,2,"ship chandlers","url:lethagencies.com"
en_world,"ships cost",OTRO,INFORMACIONAL,REVISAR,12100,LOW,15,10475.47,1503.78,18670.24,-17,3,1,"","url:panamashipservice.com"
en_world,"freight ship",OTRO,GENERICA,REVISAR,12100,LOW,20,53824.34,11153.03,65126.39,-38,10,1,"","url:gac.com url:orcashipsagents.com"
en_world,"maritime transportation",OTRO,INFORMACIONAL,REVISAR,12100,LOW,4,12116.16,2430.15,13482.75,-7,9,1,"","url:orcashipsagents.com"
en_world,"freightliner ship",OTRO,GENERICA,REVISAR,12100,LOW,20,54225.42,11236.14,65611.68,-38,10,1,"","url:orcashipsagents.com"
en_world,"smart marine",OTRO,GENERICA,REVISAR,12100,MEDIUM,56,400.42,90.56,1217.51,-2,12,1,"","url:24marine.com"
en_world,"gas carriers",OTRO,GENERICA,REVISAR,12100,LOW,1,2241.08,1170.48,7132.37,174,3,1,"","url:24marine.com"
en_world,"panama canal when was it built",INFO_CANAL,INFORMACIONAL,EXCLUIR,9900,LOW,1,6717.56,37.21,10129.71,-21,1,1,"","url:adimarships.com"
